FloorPlanID,SiteID,Name,Name2,Style,Width,Height,StretchMode,BGType,BGColour1,BGColour2,BGColour3,BGColour4,BGAlpha1,BGAlpha2,BGAlpha3,BGAlpha4,BGPos1,BGPos2,BGPos3,BGPos4,AutoResize,Visible,UsedForPhotoID,PhotoIDFront,PhotoIDBack,Debug,Landscape,BackgroundImage,UsedForReports,LastModified,LastModifiedValid,Created,LastOperator,PrintDoubleSided,MifareCardEncoding,MifareSector,MifareBlock,MifareUserFieldID,MifareProcessType,ICTCardEncoding,ICTProcessType,MagstripeCardEncoding,MagstripeUserFieldID1,MagstripeUserFieldID2,MagstripeUserFieldID3,WithPrintedDateUserFieldID,WithAssignedValueUserFieldID,WithAssignedValueUserFieldType,PostPrintNumericalData,PostPrintTextData,PostPrintDateTimeData,PostPrintBooleanData,RecordGroup,CopyValueFromUserFieldID,CopyValueToUserFieldID
0,1,ReceptionMainEntr,ReceptionMainEntr,0,2048.0,1536.0,0,1,16777215,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False,C:\Users\SESA618878\Desktop\Security Expert - Installation\Files\Exercise & Activites\SecurityExpert\Basic Access Floor Plans\ReceptionMainEntrance3D.jpg,False,2022-10-14 13:15:11.233,True,2022-09-21 13:26:46.770,Admin,False,False,0,0,0,0,True,2,False,0,0,0,0,0,0,0,,2011-01-01,False,0,0,0
2,1,MyFirstFloorPlan,MyFirstFloorPlan,0,800.0,600.0,0,1,16444375,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False,,False,2022-11-02 13:41:11.350,True,2022-09-21 13:50:47.213,Admin,False,False,0,0,0,0,True,2,False,0,0,0,0,0,0,0,,2011-01-01,False,0,0,0
3,1,MyFirstCardTemplate,MyFirstCardTemplate,0,800.0,600.0,0,1,16777215,16777215,16777215,16777215,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,True,True,False,False,True,,False,2022-09-21 17:24:24.113,True,2022-09-21 17:18:29.557,Admin,False,False,2147483647,2147483647,2147483647,2147483647,True,2,False,2147483647,2147483647,2147483647,2147483647,2147483647,-1,2147483647,,2011-01-01,False,0,2147483647,2147483647
4,1,OfficeArea,OfficeArea,0,2029.0,1150.0,0,1,16444375,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False,C:\Users\SESA618878\Desktop\Security Expert - Installation\Files\Exercise & Activites\SecurityExpert\Basic Access Floor Plans\OfficeFloor3DWithWalls.jpg,False,2022-09-28 12:04:47.460,True,2022-09-28 12:00:08.233,Admin,False,False,0,0,0,0,True,2,False,0,0,0,0,0,0,0,,2011-01-01,False,0,0,0
6,1,OfficeAreaCopy,OfficeAreaCopy,0,800.0,600.0,0,1,16444375,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False,C:\Users\SESA618878\Desktop\Security Expert - Installation\Files\Exercise & Activites\SecurityExpert\Basic Access Floor Plans\OfficeFloor3DWithWalls.jpg,False,2022-11-24 15:39:06.390,True,2022-11-07 14:28:52.817,Admin,False,False,0,0,0,0,True,2,False,0,0,0,0,0,0,0,,2011-01-01,False,0,0,0
7,1,pandas_test,pandas_test,0,800.0,600.0,0,1,16444375,0,0,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,True,True,False,True,False,False,False,,False,2022-12-13 17:24:34.593,True,2022-12-13 17:24:31.200,Admin,False,False,0,0,0,0,True,2,False,0,0,0,0,0,0,0,,2011-01-01,False,2147483647,0,0
